item,description,review_question
al_khwarizmi_algorism,Procedural arithmetic and Latinized name history linked to algorithm,How should etymology be distinguished from total origin?
algebraic_transformation,Al-jabr and al-muqabalah as rule-governed problem transformation,How did classification and balancing make procedures teachable?
hindu_arabic_numerals,Positional notation and zero as representational technologies,How did representation change calculability?
verbal_procedure,Mathematical rules expressed in prose before modern symbolism,How can algorithms exist before code and notation?
practical_calculation,Commerce inheritance surveying taxation and administration,How did institutions use calculation as procedure?
astronomical_tables,Lookup interpolation calendars qibla and prediction,How did tables encode reusable computation?
cryptanalysis,Frequency analysis and pattern inference over symbols,How did symbolic counting become statistical reasoning?
mechanical_automata,Sequenced physical action in devices and automata,How can procedure be embodied materially?
translation_movements,Translation commentary adaptation and transmission,How did knowledge transfer create new computational traditions?
origin_story_caution,Multi-lineage history and careful interpretation,How can historical claims avoid simplification?
